true_label,baseline_score,baseline_prediction,baseline_correct,context_score,context_prediction,context_correct,adjustment,user_risk,changed
1,68.0,1,True,76.0,1,True,8.0,high_risk,False
1,60.0,1,True,40.0,0,False,-20.0,minimal_risk,True
1,60.0,1,True,68.0,1,True,8.0,high_risk,False
1,28.0,0,False,28.0,0,False,0.0,low_risk,False
0,9.6,0,True,9.6,0,True,0.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,4.0,0,True,-4.0,low_risk,False
0,16.0,0,True,19.0,0,True,3.0,medium_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
0,28.0,0,True,28.0,0,True,0.0,minimal_risk,False
0,20.0,0,True,16.0,0,True,-4.0,medium_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,4.0,0,True,4.0,0,True,0.0,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,medium_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,4.0,0,True,4.0,0,True,0.0,minimal_risk,False
0,16.0,0,True,24.0,0,True,8.0,high_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,17.6,0,True,0.0,0,True,-17.6,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,17.6,0,True,0.0,0,True,-17.6,minimal_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,8.0,0,True,4.0,0,True,-4.0,minimal_risk,False
0,60.0,1,False,20.0,0,True,-40.0,minimal_risk,True
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,0.0,0,True,8.0,0,True,8.0,low_risk,False
0,60.0,1,False,40.0,0,True,-20.0,minimal_risk,True
0,16.0,0,True,8.0,0,True,-8.0,low_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,4.0,0,True,-4.0,low_risk,False
0,8.0,0,True,16.0,0,True,8.0,high_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,16.0,0,True,8.0,high_risk,False
0,4.0,0,True,0.0,0,True,-4.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,28.0,0,True,36.0,0,True,8.0,high_risk,False
0,9.6,0,True,0.0,0,True,-9.6,minimal_risk,False
0,52.0,1,False,60.0,1,False,8.0,low_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,29.6,0,True,29.6,0,True,0.0,low_risk,False
0,16.0,0,True,16.0,0,True,0.0,minimal_risk,False
0,9.6,0,True,5.6,0,True,-4.0,low_risk,False
0,16.0,0,True,19.0,0,True,3.0,high_risk,False
0,8.0,0,True,11.0,0,True,3.0,medium_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,9.6,0,True,0.0,0,True,-9.6,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,9.6,0,True,9.6,0,True,0.0,medium_risk,False
0,16.0,0,True,0.0,0,True,-16.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,medium_risk,False
0,4.0,0,True,11.0,0,True,7.0,medium_risk,False
0,17.6,0,True,20.6,0,True,3.0,high_risk,False
0,8.0,0,True,16.0,0,True,8.0,minimal_risk,False
0,4.0,0,True,0.0,0,True,-4.0,minimal_risk,False
0,16.0,0,True,8.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,4.0,0,True,8.0,0,True,4.0,minimal_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,4.0,0,True,7.0,0,True,3.0,medium_risk,False
0,8.0,0,True,0.0,0,True,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,minimal_risk,False
0,8.0,0,True,16.0,0,True,8.0,high_risk,False
0,8.0,0,True,16.0,0,True,8.0,high_risk,False
0,4.0,0,True,7.0,0,True,3.0,medium_risk,False
0,60.0,1,False,60.0,1,False,0.0,minimal_risk,False
0,68.0,1,False,60.0,1,False,-8.0,minimal_risk,False
0,8.0,0,True,8.0,0,True,0.0,low_risk,False
0,20.0,0,True,28.0,0,True,8.0,high_risk,False
